Idea Paraguas,Mes,Semana,Segmento,Pilar,Canal,Formato,Pieza de Contenido,Estado,Notas
La Casa se Acomoda,Mes 3 (octubre 2026),Semana 1,Segmento 1 - Primer Espacio Propio,Prepara tu casa,TikTok,TikTok,"Adelanto de promociones de temporada (versión de ""PRIMAVERA10"")",Por hacer,
La Casa se Acomoda,Mes 3 (octubre 2026),Semana 2,Segmento 4 - Cuando el Cuarto Cambia de Dueño,Prepara tu casa,Facebook,Post,"""Renueva el cuarto de visitas para las fiestas"" (comodidad para huéspedes)",Por hacer,
La Casa se Acomoda,Mes 3 (octubre 2026),Semana 2,Segmento 3 - Renovación con Criterio,Prepara tu casa,Instagram,Reel testimonial,Casos de clientes Gen X que renovaron sala/colchón (refuerzo de confianza antes de Buen Fin),Por hacer,
La Casa se Acomoda,Mes 3 (octubre 2026),Semana 3,Todos los segmentos,Prepara tu casa,Multicanal,Teaser,Anuncio de campaña Buen Fin (transición planeada a noviembre),Por hacer,
La Casa se Acomoda,Mes 3 (octubre 2026),Semana 3,Segmento 1/2,Prepara tu casa,TikTok,TikTok,Contenido co-creado con micro-influencer de decoración/diseño accesible,Por hacer,
La Casa se Acomoda,Mes 3 (octubre 2026),Semana 4,Todos los segmentos,Prepara tu casa,Multicanal,Reel de cierre,"Recap de 90 días: evolución visual del contenido (de institucional a multigeneracional)",Por hacer,
La Casa se Acomoda,Mes 3 (octubre 2026),Semana 4,Interno/equipo,Prepara tu casa,-,Revisión interna,Revisión de métricas por segmento (alcance/guardados/CTA) para ajustar Q4,Por hacer,
La Casa se Acomoda,Piloto Segmento 4 - Semana 1,Semana 1,Segmento 4 - Cuando el Cuarto Cambia de Dueño,Marca/confianza,Facebook,Post + foto,"""25 años, muchas etapas de tu casa""",Por hacer,
La Casa se Acomoda,Piloto Segmento 4 - Semana 1,Semana 1,Segmento 4 - Cuando el Cuarto Cambia de Dueño,Esta casa ya te conoce,Facebook/Instagram,Reel 45s,Testimonio real #1 (cuarto de hijo a home office),Por hacer,
La Casa se Acomoda,Piloto Segmento 4 - Semana 2,Semana 2,Segmento 4 - Cuando el Cuarto Cambia de Dueño,Antes/después,Facebook,Carrusel 6 fotos,Transformación de sala a espacio de lectura/descanso (reclinables),Por hacer,
La Casa se Acomoda,Piloto Segmento 4 - Semana 2,Semana 2,Segmento 4 - Cuando el Cuarto Cambia de Dueño,Comunidad,Facebook,Post pregunta,"""¿Qué habitación resignificaste?"" (abre buzón de historias)",Por hacer,
La Casa se Acomoda,Piloto Segmento 4 - Semana 3,Semana 3,Segmento 4 - Cuando el Cuarto Cambia de Dueño,Esta casa ya te conoce,Facebook/Instagram,Reel 45-60s,Testimonio real #2 (colchón Comfort Tech),Por hacer,
La Casa se Acomoda,Piloto Segmento 4 - Semana 3,Semana 3,Segmento 4 - Cuando el Cuarto Cambia de Dueño,Antes/después,Facebook,Carrusel,Cuarto de huéspedes / estudio,Por hacer,
La Casa se Acomoda,Piloto Segmento 4 - Semana 4,Semana 4,Segmento 4 - Cuando el Cuarto Cambia de Dueño,Comunidad,Facebook,Recopilación,Mosaico de 3-4 respuestas reales de la semana 2 con crédito a cada cliente,Por hacer,
La Casa se Acomoda,Piloto Segmento 4 - Semana 4,Semana 4,Segmento 4 - Cuando el Cuarto Cambia de Dueño,Marca/confianza,Facebook,Video corto,"""Seguimos siendo tu mueblería de siempre""",Por hacer,
La Casa se Acomoda,Piloto Segmento 4 - Semana 5,Semana 5,Segmento 4 - Cuando el Cuarto Cambia de Dueño,Esta casa ya te conoce,Facebook/Instagram,Reel,Testimonio real #3,Por hacer,
La Casa se Acomoda,Piloto Segmento 4 - Semana 5,Semana 5,Segmento 4 - Cuando el Cuarto Cambia de Dueño,Antes/después,Facebook,Carrusel,Sala reclinable completa,Por hacer,
La Casa se Acomoda,Piloto Segmento 4 - Semana 6,Semana 6,Segmento 4 - Cuando el Cuarto Cambia de Dueño,Cierre de campaña,Facebook,Recap,"Mosaico de las 3 transformaciones reales + CTA suave a WhatsApp",Por hacer,
La Casa se Acomoda,Piloto Segmento 4 - Semana 6,Semana 6,Interno,Medición,-,Revisión interna,"Revisión de alcance, comentarios, guardados y clics a WhatsApp",Por hacer,
